idAtleta,idDeporte,fecha,m1,m2,m5,m10,m20,m30,m60,m120,m300,m600,m1200,m1800,m3600,m7200,m18000,lastAct,duration
209,2,29/08/2024,530,517,470,411,392,344,324,314,300,254,231,226,206,0,0,2024-08-29 11:46:32.517,5413
209,2,31/08/2024,566,560,443,373,349,337,289,260,243,239,204,195,182,156,0,2024-08-31 14:11:27.227,12210
209,2,03/09/2024,591,585,557,473,388,347,338,321,303,252,238,229,216,0,0,2024-09-03 11:54:14.430,6098
209,2,05/09/2024,272,255,244,231,214,201,189,178,173,170,167,165,157,0,0,2024-09-05 18:11:05.980,4201
209,2,07/09/2024,639,547,418,397,379,355,298,266,236,226,205,198,184,164,0,2024-09-07 11:32:46.050,14607
209,2,10/09/2024,442,427,393,343,313,300,291,282,271,229,218,215,205,175,0,2024-09-10 11:52:30.590,7244
209,2,12/09/2024,707,697,670,631,584,497,362,299,231,217,205,200,181,0,0,2024-09-12 17:41:38.060,4835
209,2,14/09/2024,525,515,499,485,416,374,315,271,246,235,212,205,203,189,143,2024-09-14 12:21:31.777,17963
209,2,17/09/2024,347,337,312,302,296,289,276,258,246,244,222,218,195,163,0,2024-09-17 18:08:59.820,7203
209,2,19/09/2024,374,349,313,255,222,219,204,199,194,179,177,165,154,0,0,2024-09-19 11:14:39.133,5403
209,2,21/09/2024,508,413,387,355,325,322,312,306,239,228,220,193,178,161,140,2024-09-21 17:40:37.063,19328
209,2,24/09/2024,558,509,414,343,305,294,286,272,265,262,232,207,190,158,0,2024-09-24 18:33:28.693,7241
209,2,26/09/2024,198,193,182,171,161,161,159,157,155,153,147,143,138,0,0,2024-09-26 23:59:26.340,5101
209,2,28/09/2024,516,516,467,410,377,359,326,297,233,211,204,191,187,164,130,2024-09-28 16:47:35.247,19862
209,2,01/10/2024,421,400,370,348,321,310,288,279,273,270,249,234,219,180,0,2024-10-01 15:28:45.580,7230
209,2,03/10/2024,265,226,196,188,187,182,179,176,169,166,156,156,145,0,0,2024-10-04 01:36:28.817,5403
209,2,05/10/2024,507,472,434,384,348,346,342,330,265,225,217,194,192,173,127,2024-10-06 09:14:11.017,20034
209,2,12/10/2024,683,682,543,431,345,310,279,259,240,205,195,191,168,144,0,2024-10-12 15:06:28.267,11018
209,2,13/10/2024,320,311,295,269,259,254,247,218,191,178,167,161,158,0,0,2024-10-13 10:44:55.150,5404
209,2,15/10/2024,408,376,359,348,347,341,331,320,308,289,284,237,191,0,0,2024-10-15 14:58:28.567,5406
209,2,19/10/2024,653,595,467,371,349,341,298,283,278,276,271,230,183,153,124,2024-10-19 14:41:56.560,20075
209,2,22/10/2024,489,331,255,245,230,215,192,188,183,180,176,174,170,163,0,2024-10-22 14:56:18.403,7209
209,2,24/10/2024,517,512,490,449,349,337,300,284,275,269,263,232,225,184,0,2024-10-24 16:25:15.537,7412
209,2,26/10/2024,523,495,419,386,377,364,310,244,229,222,220,213,201,173,142,2024-10-26 14:17:59.243,20440
209,2,29/10/2024,443,422,378,337,322,300,281,268,258,255,248,219,205,0,0,2024-10-29 14:39:03.100,6721
209,2,31/10/2024,291,291,274,257,213,209,184,174,158,149,141,134,127,0,0,2024-10-31 15:37:29.253,3800
209,2,02/11/2024,455,445,442,397,369,332,288,267,230,222,218,212,192,172,129,2024-11-02 14:58:01.460,19149
209,2,05/11/2024,513,502,480,423,361,340,313,283,274,265,255,226,211,0,0,2024-11-05 15:00:54.103,5757
209,2,07/11/2024,447,405,371,359,318,308,266,254,198,188,183,180,163,0,0,2024-11-07 15:28:22.750,5324
209,2,09/11/2024,432,422,373,336,306,277,273,259,217,211,209,207,190,173,0,2024-11-09 12:27:47.747,15741
209,2,10/11/2024,375,369,364,348,340,335,302,233,209,184,167,152,0,0,0,2024-11-10 08:55:15.163,2707
209,2,12/11/2024,429,416,375,343,327,302,286,283,272,266,222,209,186,0,0,2024-11-12 15:11:57.573,6416
209,2,14/11/2024,413,403,361,335,316,313,295,279,233,210,204,187,173,0,0,2024-11-14 15:53:54.487,5412
209,2,16/11/2024,512,443,398,387,371,348,288,253,241,231,220,195,191,161,0,2024-11-16 14:44:55.300,11411
209,2,20/11/2024,389,371,339,291,236,217,211,198,191,186,171,160,150,0,0,2024-11-20 21:12:15.057,6516
209,2,21/11/2024,502,495,456,370,325,317,305,240,220,208,182,175,141,118,0,2024-11-21 13:43:19.797,8216
209,2,24/11/2024,521,517,470,362,310,291,264,241,218,207,196,194,191,188,183,2024-11-24 21:56:46.097,19250
209,2,03/12/2024,377,352,329,308,296,282,251,231,220,180,177,174,144,0,0,2024-12-03 21:04:04.540,4802
209,2,05/12/2024,366,366,326,307,296,294,283,210,205,196,171,161,148,0,0,2024-12-05 20:43:57.070,4201
209,2,07/12/2024,421,421,405,359,311,277,232,210,198,182,173,167,0,0,0,2024-12-07 15:37:03.760,3014
209,2,08/12/2024,832,758,619,580,513,467,358,272,236,205,195,190,169,148,0,2024-12-08 13:16:57.420,10904
209,2,10/12/2024,790,789,731,605,477,392,296,272,248,204,180,177,172,0,0,2024-12-10 22:01:32.280,4503
209,2,12/12/2024,458,404,364,360,336,330,322,251,220,213,198,172,143,0,0,2024-12-12 14:21:36.817,5404
209,2,17/12/2024,309,294,279,268,258,247,238,235,216,180,176,170,152,0,0,2024-12-18 07:32:49.697,3603
209,2,19/12/2024,734,719,605,511,406,386,335,299,237,210,192,178,150,0,0,2024-12-19 20:22:48.057,3854
209,2,21/12/2024,316,307,300,298,288,276,239,208,192,190,179,173,141,0,0,2024-12-21 10:33:17.853,5417
209,2,24/12/2024,493,486,449,411,392,359,296,272,220,210,187,183,174,156,0,2024-12-24 12:46:16.933,11794
209,2,26/12/2024,449,427,408,392,357,336,298,279,266,236,220,199,170,0,0,2024-12-26 15:04:20.190,5405
209,2,28/12/2024,501,500,465,428,416,396,355,285,254,227,208,199,195,149,0,2024-12-28 12:56:32.980,11046
209,2,31/12/2024,523,513,432,387,370,348,289,243,200,182,168,163,151,135,0,2024-12-31 13:36:34.940,13410
209,2,02/01/2025,401,387,362,320,289,265,232,217,188,166,145,128,113,0,0,2025-01-02 20:31:49.517,4502
209,2,04/01/2025,402,401,391,366,324,299,265,233,230,222,202,187,148,146,0,2025-01-04 15:50:08.050,15003
209,2,11/01/2025,513,506,473,429,386,364,312,268,246,217,197,169,144,119,0,2025-01-11 11:16:19.440,7203
209,2,16/01/2025,334,323,313,299,281,267,255,243,228,208,204,198,187,0,0,2025-01-16 07:10:35.103,5416
209,2,18/01/2025,382,374,342,302,292,284,274,268,246,196,192,191,177,152,0,2025-01-18 10:57:16.483,7204
209,2,21/01/2025,552,552,484,425,365,341,306,298,287,234,206,199,164,0,0,2025-01-21 20:04:28.440,5691
209,2,23/01/2025,444,423,406,386,349,331,310,304,258,231,199,161,127,0,0,2025-01-23 15:15:08.590,6359
209,2,25/01/2025,502,492,461,362,325,275,240,214,186,177,175,173,154,139,0,2025-01-25 10:07:13.733,7204
209,2,28/01/2025,512,487,414,354,314,297,290,286,215,211,200,199,170,0,0,2025-01-28 14:49:14.557,5491
209,2,30/01/2025,447,437,411,409,383,353,310,284,218,208,186,174,150,0,0,2025-01-30 15:00:40.507,4986
209,2,02/02/2025,942,916,849,722,539,389,348,318,286,224,193,179,151,131,0,2025-02-02 11:39:59.143,7751
209,2,04/02/2025,554,554,519,473,382,357,318,291,279,242,179,135,79,69,0,2025-02-04 11:15:08.777,4573
209,2,06/02/2025,749,746,670,602,577,515,403,330,298,215,178,158,134,94,0,2025-02-06 11:23:30.623,11069
209,2,08/02/2025,650,640,606,525,423,404,353,311,270,245,191,177,144,130,0,2025-02-08 11:35:21.020,12601
209,2,18/02/2025,662,662,355,300,285,267,260,249,228,212,191,192,181,0,0,2025-02-18 18:22:23.870,5403
